date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:51:10	102063/102063	---M--	200	added ('OK')	image/png	etag:%226a2a226eaefa432d1c40b33131141458%22	https://frvr.com/tutorials/golddigger/building-homedecor.png	C:/My%20Web%20Sites/gold/frvr.com/tutorials/golddigger/building-homedecor.png	(from https://frvr.com/tutorials/golddigger/index.html)
00:51:10	363224/363224	---M--	200	added ('OK')	image/png	etag:%223e3b740f589c1b36e3940923ebfb7e19%22	https://frvr.com/tutorials/golddigger/gd%20special%20ore%20skill.png	C:/My%20Web%20Sites/gold/frvr.com/tutorials/golddigger/gd%20special%20ore%20skill.png	(from https://frvr.com/tutorials/golddigger/index.html)
00:51:10	8535/8535	---M--	200	added ('OK')	image/png	etag:%2243e22f968218acdc168e8d5c9382bde5%22	https://frvr.com/tutorials/golddigger/super%20ore.png	C:/My%20Web%20Sites/gold/frvr.com/tutorials/golddigger/super%20ore.png	(from https://frvr.com/tutorials/golddigger/index.html)
00:51:11	2086/2086	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220c7ac37baa66d24b7808eefc93bef930%22	https://frvr.com/tutorials/golddigger/conveyer%20belt.svg	C:/My%20Web%20Sites/gold/frvr.com/tutorials/golddigger/conveyer%20belt.svg	(from https://frvr.com/tutorials/golddigger/index.html)
00:51:11	1944/1944	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22662349382bd423d7764dad617949e8b6%22	https://frvr.com/tutorials/golddigger/rock%20transformer.svg	C:/My%20Web%20Sites/gold/frvr.com/tutorials/golddigger/rock%20transformer.svg	(from https://frvr.com/tutorials/golddigger/index.html)
00:51:12	3416/3416	---M--	200	added ('OK')	image/png	etag:%22292e380c1e29236cdea2f4700d56dcd3%22	https://frvr.com/tutorials/golddigger/elevator.png	C:/My%20Web%20Sites/gold/frvr.com/tutorials/golddigger/elevator.png	(from https://frvr.com/tutorials/golddigger/index.html)
00:51:12	4840/4840	---M--	200	added ('OK')	image/png	etag:%22dda1a98235914015036be362d33dfe25%22	https://frvr.com/tutorials/golddigger/ladder.png	C:/My%20Web%20Sites/gold/frvr.com/tutorials/golddigger/ladder.png	(from https://frvr.com/tutorials/golddigger/index.html)
00:51:13	67397/67397	---M--	200	added ('OK')	image/png	etag:%2240c80d97cf337f8b1ce76464d9025b8a%22	https://frvr.com/tutorials/golddigger/death-loot-marker.png	C:/My%20Web%20Sites/gold/frvr.com/tutorials/golddigger/death-loot-marker.png	(from https://frvr.com/tutorials/golddigger/index.html)
00:51:13	104200/104200	---M--	200	added ('OK')	image/png	etag:%2263544f2908540ada52deb0626fa46c48%22	https://frvr.com/tutorials/golddigger/gd%20oracle.png	C:/My%20Web%20Sites/gold/frvr.com/tutorials/golddigger/gd%20oracle.png	(from https://frvr.com/tutorials/golddigger/index.html)
00:51:14	73619/73619	---M--	200	added ('OK')	image/png	etag:%22ec0e27fb9f6de49424909a25600f26a9%22	https://frvr.com/tutorials/golddigger/gd%20oracle%202.png	C:/My%20Web%20Sites/gold/frvr.com/tutorials/golddigger/gd%20oracle%202.png	(from https://frvr.com/tutorials/golddigger/index.html)
00:51:15	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2005%20Mar%202023%2005:51:14%20GMT	https://frvr.com/support	C:/My%20Web%20Sites/gold/frvr.com/support	(from https://frvr.com/tutorials/golddigger/index.html)
00:51:15	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2005%20Mar%202023%2005:51:14%20GMT	https://frvr.com/support	C:/My%20Web%20Sites/gold/frvr.com/support	(from https://frvr.com/tutorials/golddigger/index.html)
00:51:15	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20Mar%202023%2005:51:14%20GMT	https://frvr.com/tutorials/krunker/getting-started	C:/My%20Web%20Sites/gold/frvr.com/tutorials/krunker/getting-started	(from https://frvr.com/tutorials/krunker/index.html)
00:51:17	15678/15678	---MCZ	200	added ('OK')	text/html	etag:W/%229fe1181adaf84edb1ed717afa7581b8d%22	https://frvr.com/tutorials/krunker/getting-started/index.html	C:/My%20Web%20Sites/gold/frvr.com/tutorials/krunker/getting-started/index.html	(from https://frvr.com/tutorials/krunker/index.html)
00:51:17	4188890/4188890	---M--	200	added ('OK')	image/gif	etag:%226fbab2eeca39c201aa30d73196ce7c41%22	https://frvr.com/tutorials/golddigger/crowbar.gif	C:/My%20Web%20Sites/gold/frvr.com/tutorials/golddigger/crowbar.gif	(from https://frvr.com/tutorials/golddigger/index.html)
00:51:17	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20Mar%202023%2005:51:16%20GMT	https://frvr.com/tutorials/krunker/knowledge-base	C:/My%20Web%20Sites/gold/frvr.com/tutorials/krunker/knowledge-base	(from https://frvr.com/tutorials/krunker/index.html)
00:51:17	29544/29544	---MCZ	200	added ('OK')	text/html	etag:W/%223b0e1879e952daf7a5212676dc73743a%22	https://frvr.com/tutorials/krunker/knowledge-base/index.html	C:/My%20Web%20Sites/gold/frvr.com/tutorials/krunker/knowledge-base/index.html	(from https://frvr.com/tutorials/krunker/index.html)
00:51:18	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2005%20Mar%202023%2005:51:17%20GMT	https://frvr.com/support	C:/My%20Web%20Sites/gold/frvr.com/support	(from https://frvr.com/tutorials/krunker/index.html)
00:51:18	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2005%20Mar%202023%2005:51:17%20GMT	https://frvr.com/support	C:/My%20Web%20Sites/gold/frvr.com/support	(from https://frvr.com/tutorials/krunker/index.html)
